start:1742298241.6594 elapsed:0.013159036636353 end:1742298241.6726 memory:654632 system_usage:1.03973 user_usage:4.33874
start:1742298241.6775 elapsed:0.046877861022949 end:1742298241.7244 memory:655160 system_usage:1.064833 user_usage:4.630716
start:1742298241.7409 elapsed:0.012313842773438 end:1742298241.7532 memory:655440 system_usage:1.037007 user_usage:4.741606
start:1742298263.3499 elapsed:0.021989822387695 end:1742298263.3719 memory:1107640 system_usage:1.073262 user_usage:3.960038
start:1742298263.3824 elapsed:0.012882947921753 end:1742298263.3953 memory:654632 system_usage:0.725586 user_usage:2.596521
start:1742298263.396 elapsed:0.011215925216675 end:1742298263.4072 memory:654704 system_usage:1.067263 user_usage:3.971142
start:1742298263.4131 elapsed:0.047459125518799 end:1742298263.4606 memory:655160 system_usage:1.103525 user_usage:4.494212
start:1742298263.4775 elapsed:0.013016939163208 end:1742298263.4905 memory:655440 system_usage:1.042601 user_usage:4.349196
start:1742298290.3064 elapsed:0.022650003433228 end:1742298290.3291 memory:1107640 system_usage:1.070822 user_usage:4.644593
start:1742298290.341 elapsed:0.013570785522461 end:1742298290.3546 memory:654632 system_usage:1.043193 user_usage:4.749435
start:1742298290.3553 elapsed:0.011169195175171 end:1742298290.3665 memory:654704 system_usage:1.078481 user_usage:3.966806
start:1742298290.3716 elapsed:0.050132036209106 end:1742298290.4217 memory:655160 system_usage:0.730859 user_usage:2.642493
start:1742298290.4386 elapsed:0.010856151580811 end:1742298290.4495 memory:655440 system_usage:1.072314 user_usage:3.977293
start:1742298317.9676 elapsed:0.024068832397461 end:1742298317.9917 memory:1107896 system_usage:1.108249 user_usage:4.511087
start:1742298318.0053 elapsed:0.011823177337646 end:1742298318.0172 memory:654704 system_usage:1.04736 user_usage:4.35714
start:1742298318.0178 elapsed:0.011981964111328 end:1742298318.0298 memory:654632 system_usage:1.075533 user_usage:4.652261
start:1742298318.0361 elapsed:0.046826124191284 end:1742298318.0829 memory:655160 system_usage:1.050093 user_usage:4.789986
start:1742298318.1002 elapsed:0.011795997619629 end:1742298318.112 memory:655440 system_usage:1.084138 user_usage:3.973503
start:1742298346.8054 elapsed:0.021885871887207 end:1742298346.8273 memory:1107896 system_usage:0.73588 user_usage:2.656569
